観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),23日の最高気温(℃),23日の最高気温の品質情報,23日の最高気温起時（時）,23日の最高気温起時（分）,23日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（22日まで）,今年の最高気温（22日まで）の品質情報,今年の最高気温（22日まで）を観測した起日（年）,今年の最高気温（22日まで）を観測した起日（月）,今年の最高気温（22日まで）を観測した起日（日）,22日までの観測史上1位の値（℃）,22日までの観測史上1位の値の品質情報,22日までの観測史上1位の値を観測した起日（年）,22日までの観測史上1位の値を観測した起日（月）,22日までの観測史上1位の値を観測した起日（日）,22日までの1月の1位の値,22日までの1月の1位の値の品質情報,22日までの1月の1位の値の起日（年）,22日までの1月の1位の値の起日（月）,22日までの1月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,01,23,11,00,-1.0,4,10,56,4,,,,,,,0,2.9,4,2025,01,19,31.9,8,2000,08,01,5.7,8,2023,01,13,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2025,01,23,11,00,-0.8,4,10,59,4,,,,,,,0,4.3,4,2025,01,19,32.7,8,2021,07,29,7.4,8,2009,01,23,1938
11046,北海道宗谷地方,礼文（レブン）,,2025,01,23,11,00,1.3,4,11,00,4,,,,,,,0,4.5,4,2025,01,19,30.5,8,2022,07,31,6.9,8,2009,01,23,2003
11061,北海道宗谷地方,声問（コエトイ）,,2025,01,23,11,00,-0.8,4,11,00,4,,,,,,,0,3.1,4,2025,01,19,33.3,8,2021,07,29,6.3,8,2023,01,13,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,01,23,11,00,-0.5,4,10,37,4,,,,,,,0,1.3,4,2025,01,20,32.7,8,2000,07,31,6.2,8,2023,01,13,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,01,23,11,00,0.8,4,11,00,4,,,,,,,0,4.1,4,2025,01,19,31.8,8,2021,08,07,8.4,8,2009,01,23,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,01,23,11,00,-1.4,4,11,00,4,,,,,,,0,2.8,4,2025,01,19,32.4,8,2021,07,29,7.5,8,2009,01,23,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2025,01,23,11,00,0.9,4,11,00,4,,,,,,,0,4.7,4,2025,01,19,32.5,8,1989,08,07,7.3,8,2009,01,23,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,01,23,11,00,0.5,4,11,00,4,,,,,,,0,3.7,4,2025,01,19,33.1,8,2000,08,01,7.6,8,2009,01,23,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,01,23,11,00,-0.5,4,10,25,4,,,,,,,0,2.0,4,2025,01,20,33.6,4,1989,07,27,8.2,8,2009,01,23,1977
